REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGTITUDE,RADIUSSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
160100034, , , , ,-7918104.841076729,5203209.650078158, , , , ,1/10/2016,1:53:00 AM, , ,05/06/2017 14:44:53, , ,mv
160100058, , , , ,-7913903.532174699,5203545.336937058, , , , ,1/10/2016,3:34:09 AM, , ,05/06/2017 14:44:53, , ,ped
160100212, , , , ,-7910722.800364263,5213004.224779852, , , , ,1/10/2016,5:38:00 PM, , ,05/06/2017 14:44:53, , ,mv
160100226, , , , ,-7910799.499493419,5211074.406067844, , , , ,1/10/2016,6:58:00 PM, , ,05/06/2017 14:44:53, , ,mv
160110032, , , , ,-7914132.627686752,5204170.399184572, , , , ,1/11/2016,3:12:00 AM, , ,05/06/2017 14:44:53, , ,mv
160110072, , , , ,-7912193.7761156075,5210834.975729746, , , , ,1/11/2016,7:59:00 AM, , ,05/06/2017 14:44:53, , ,mv
160110126, , , , ,-7911708.311816257,5204805.73579073, , , , ,1/11/2016,11:01:19 AM, , ,05/06/2017 14:44:53, , ,ped
160110207, , , , ,-7913351.498819855,5212247.250414272, , , , ,1/11/2016,2:25:57 PM, , ,05/06/2017 14:44:53, , ,ped
160110218, , , , ,-7912894.532310151,5210331.890569965, , , , ,1/11/2016,2:50:00 PM, , ,05/06/2017 14:44:53, , ,mv
160110236, , , , ,-7911711.76272047,5210923.217904758, , , , ,1/11/2016,3:36:52 PM, , ,05/06/2017 14:44:53, , ,ped
160110274, , , , ,-7916004.798882914,5211676.923907325, , , , ,1/11/2016,5:40:00 PM, , ,05/06/2017 14:44:53, , ,mv
160110298, , , , ,-7914178.491316959,5211437.478336559, , , , ,1/11/2016,6:18:00 PM, , ,05/06/2017 14:44:53, , ,mv
160110313, , , , ,-7918453.605041384,5203347.474351562, , , , ,1/11/2016,6:52:00 PM, , ,05/06/2017 14:44:53, , ,mv
160110320, , , , ,-7920230.8207119,5201363.208693894, , , , ,1/11/2016,6:55:41 PM, , ,05/06/2017 14:44:53, , ,ped
160110341, , , , ,-7912652.078459201,5206843.554559066, , , , ,1/11/2016,7:51:03 PM, , ,05/06/2017 14:44:53, , ,ped
160110365, , , , ,-7913414.505651645,5213046.096596556, , , , ,1/11/2016,9:23:42 PM, , ,05/06/2017 14:44:53, , ,ped
160110375, , , , ,-7920200.987088366,5204084.777966798, , , , ,1/11/2016,10:02:00 PM, , ,05/06/2017 14:44:53, , ,mv
160120069, , , , ,-7914843.179996486,5211614.577119151, , , , ,1/12/2016,8:12:00 AM, , ,05/06/2017 14:44:53, , ,mv
160120070, , , , ,-7917132.687963631,5202906.022448982, , , , ,1/12/2016,7:52:00 AM, , ,05/06/2017 14:44:53, , ,mv
160120071, , , , ,-7917266.271352583,5204636.890406179, , , , ,1/12/2016,8:15:00 AM, , ,05/06/2017 14:44:53, , ,mv
160120097, , , , ,-7915514.5478454605,5209992.198972132, , , , ,1/12/2016,9:23:36 AM, , ,05/06/2017 14:44:53, , ,ped
160120124, , , , ,-7911966.90699337,5207430.900960793, , , , ,1/12/2016,10:55:00 AM, , ,05/06/2017 14:44:53, , ,mv
160120128, , , , ,-7913035.685424475,5210848.829395652, , , , ,1/12/2016,10:58:45 AM, , ,05/06/2017 14:44:53, , ,ped
160120146, , , , ,-7911610.3506643595,5210889.9387626685, , , , ,1/12/2016,11:50:00 AM, , ,05/06/2017 14:44:53, , ,mv
160120161, , , , ,-7913869.579730008,5203701.673870039, , , , ,1/12/2016,12:26:00 PM, , ,05/06/2017 14:44:53, , ,mv
160120193, , , , ,-7914104.241216601,5201427.44371217, , , , ,1/12/2016,2:32:00 PM, , ,05/06/2017 14:44:53, , ,mv
160120208, , , , ,-7910177.557498358,5207230.548827297, , , , ,1/12/2016,3:08:00 PM, , ,05/06/2017 14:44:53, , ,ped
